Vivado Simulator 2018.2
Time resolution is 1 ps
T =   30.0 ps | State = RESET  | Next State = FETCH  | PC = 00000000 | IR = 00000000
T =   40.0 ps | State = FETCH  | Next State = DECODE | PC = 00000000 | IR = 00000000
T =   50.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000004 | IR = 3c0f1001
T =   61.0 ps | State = LUI    | Next State = WB_imm | PC = 00000004 | IR = 3c0f1001
T =   70.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000004 | IR = 3c0f1001
T =   80.0 ps | State = FETCH  | Next State = DECODE | PC = 00000004 | IR = 3c0f1001
T =   90.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000008 | IR = 35ef0000
T =  101.0 ps | State = ORI    | Next State = WB_imm | PC = 00000008 | IR = 35ef0000
T =  110.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000008 | IR = 35ef0000
T =  120.0 ps | State = FETCH  | Next State = DECODE | PC = 00000008 | IR = 35ef0000
T =  130.0 ps | State = DECODE | Next State =I/J-Type| PC = 0000000c | IR = 3c0e1001
T =  141.0 ps | State = LUI    | Next State = WB_imm | PC = 0000000c | IR = 3c0e1001
T =  150.0 ps | State = WB_imm | Next State = FETCH  | PC = 0000000c | IR = 3c0e1001
T =  160.0 ps | State = FETCH  | Next State = DECODE | PC = 0000000c | IR = 3c0e1001
T =  170.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000010 | IR = 35ce00c0
T =  181.0 ps | State = ORI    | Next State = WB_imm | PC = 00000010 | IR = 35ce00c0
T =  190.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000010 | IR = 35ce00c0
T =  200.0 ps | State = FETCH  | Next State = DECODE | PC = 00000010 | IR = 35ce00c0
T =  210.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000014 | IR = 200d0010
T =  221.0 ps | State = ADDI   | Next State = WB_imm | PC = 00000014 | IR = 200d0010
T =  230.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000014 | IR = 200d0010
T =  240.0 ps | State = FETCH  | Next State = DECODE | PC = 00000014 | IR = 200d0010
T =  250.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000018 | IR = 8de10004
